name,amenity
Hans&Franz,bar
Macellum,cafe
Schwarzwaldhütte,restaurant
McDonald's,fast_food
Backhaus Jankord,cafe
Rote Liebe,bar
Herz Dame,restaurant
Bar Zillus,bar
Alex Pizza,fast_food
Altstadtgrill Pizza-Döner,fast_food
Ella's,fast_food
Mokel Bar,bar
Großer Kiepenkerl,restaurant
Cafe Extrablatt,cafe
Maredo,restaurant
Bullenkopp,bar
Altes Gasthaus Leve,restaurant
Jasmin‘s,fast_food
Domino's,fast_food
Asia Quick 2,restaurant
Garbo,cafe
Destan,fast_food
Ristorante Pasta e Basta,restaurant
Il Pizzaiolo,restaurant
Hamo - Korean Food to go,fast_food
Sport Center Borkstraße,restaurant
L'Osteria,restaurant
Hier und Jetzt,cafe
moro 112,restaurant
Waldschänke,restaurant
Mensa am Aasee,fast_food
Mensa Bispinghof,fast_food
Relax,cafe
Burger King,fast_food
Subway,fast_food
Hot Jazz Club,bar
Cafe Med,restaurant
Roncalli-Café,cafe
Wolters,restaurant
Plan B,bar
Grill,fast_food
DÜNE Restaurant & Beach,restaurant
Reitercafe Mühlenbeck,cafe
Hoffschulte,restaurant
Laguna Veneziana,restaurant
Il Carpaccio,restaurant
Haus Mauritz,restaurant
Cafe Extrablatt,cafe
Akropolis Grill,fast_food
A²,restaurant
Grill Am Turm,fast_food
Loco,fast_food
Il Gondoliere,restaurant
Burger King,fast_food
La Locanda,restaurant
Floyd,cafe
Marktcafé,cafe
Café Ideal,cafe
Floyd,cafe
Klemens,restaurant
Das Stadt-Café,cafe
Inpetto,cafe
Pension Schmidt,bar
Giverny,restaurant
Cafeteria Gelateria San Marco,restaurant
Liebig's,cafe
Lavazza,cafe
Calabria,fast_food
La Romantica,restaurant
,fast_food
Siwa Bar,bar
Cafe & Bar Celona,restaurant
Piccolo,restaurant
Dell'Isola,restaurant
Mangal Grill House,fast_food
China Corner,restaurant
Pablo,cafe
noennekens,restaurant
Die Bohne,cafe
Krawummel,restaurant
Level Up Kebab,fast_food
Firenze,cafe
Mero Buddha,restaurant
Mocca d'or,restaurant
Il Teatrino,restaurant
Hot Dog Station,fast_food
Café CoLibri,cafe
Roestbar Kreuzviertel,cafe
Al Gambero,restaurant
Cafe Extrablatt,cafe
Holstein's Brasserie,restaurant
Tatarstan,fast_food
Namaste,restaurant
Kittys Trinksalon,bar
Pier House,bar
Watusi Bar,bar
Food Brother,fast_food
esCape,restaurant
Rotkehlchen,restaurant
green.club,fast_food
Papageno,cafe
Asia-Wok am Aasee / Pizzeria am Aasee,fast_food
Gassi,bar
Il DiVino,restaurant
Königs Grill 2,fast_food
BRASSERIE Münster,cafe
Butts Kebap,fast_food
Puschmann,fast_food
Burgercult+Currycult,restaurant
New York Burger,fast_food
Gustav Grün,fast_food
Pizzeria Italia da Aldo,restaurant
Santelia,cafe
La Taverna,restaurant
Pane e Vino,restaurant
Döner King,fast_food
