type,id,name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,notes
# Museums
museum,210,"LWL-Museum für Kunst und Kultur",,,,,,,,
museum,211,"LWL-Museum für Naturkunde",,,,,,,,
museum,212,"LWL-Museum für Archäologie",,,,,,,,
museum,213,"LWL-Museum für Geschichte Westfalens",,,,,,,,
museum,214,"LWL-Museum für Kunst und Kultur",,,,,,,,
museum,215,"LWL-Museum für Naturkunde",,,,,,,,
museum,216,"LWL-Museum für Archäologie",,,,,,,,
museum,217,"LWL-Museum für Geschichte Westfalens",,,,,,,,
museum,218,"LWL-Museum für Kunst und Kultur",,,,,,,,
museum,219,"LWL-Museum für Naturkunde",,,,,,,,
museum,220,"LWL-Museum für Archäologie",,,,,,,,
museum,221,"LWL-Museum für Geschichte Westfalens",,,,,,,,
museum,222,"LWL-Museum für Kunst und Kultur",,,,,,,,
museum,223,"LWL-Museum für Naturkunde",,,,,,,,
museum,224,"LWL-Museum für Archäologie",,,,,,,,
museum,225,"LWL-Museum für Geschichte Westfalens",,,,,,,,
museum,226,"LWL-Museum für Kunst und Kultur",,,,,,,,
museum,227,"LWL-Museum für Naturkunde",,,,,,,,
museum,228,"LWL-Museum für Archäologie",,,,,,,,
museum,229,"LWL-Museum für Geschichte Westfalens",,,,,,,,
museum,230,"LWL-Museum für Kunst und Kultur",,,,,,,,
museum,231,"LWL-Museum für Naturkunde",,,,,,,,
museum,232,"LWL-Museum für Archäologie",,,,,,,,
museum,233,"LWL-Museum für Geschichte Westfalens",,,,,,,,
museum,234,"LWL-Museum für Kunst und Kultur",,,,,,,,
museum,235,"LWL-Museum für Naturkunde",,,,,,,,
museum,236,"LWL-Museum für Archäologie",,,,,,,,
museum,237,"LWL-Museum für Geschichte Westfalens",,,,,,,,
museum,238,"LWL-Museum für Kunst und Kultur",,,,,,,,
museum,239,"LWL-Museum für Naturkunde",,,,,,,,
museum,240,"LWL-Museum für Archäologie",,,,,,,,
museum,241,"LWL-Museum für Geschichte Westfalens",,,,,,,,

# Libraries
library,1,"Stadtbücherei Münster",,,,,,,,
library,2,"Stadtbücherei in Coerde",,,,,,,,
library,3,"Stadtbücherei im Aaseemarkt",,,,,,,,
library,4,"Stadtbücherei am Hansaplatz",,,,,,,,
library,5,"Stadtbücherei in Hiltrup",,,,,,,,
library,6,"Stadtbücherei in Nordstadt",,,,,,,,
library,7,"Stadtbücherei in Oststadt",,,,,,,,
library,8,"Stadtbücherei in Südstadt",,,,,,,,
library,9,"Stadtbücherei in Weststadt",,,,,,,,
library,10,"Stadtbücherei in Nordweststadt",,,,,,,,
library,11,"Stadtbücherei in Südweststadt",,,,,,,,
library,12,"Stadtbücherei in Südoststadt",,,,,,,,
library,13,"Stadtbücherei in Nordoststadt",,,,,,,,

# Sport Facilities
sport_facility,210,"Turn- und Sporthallen",,,,,,,,
sport_facility,211,"Turn- und Sporthallen",,,,,,,,
sport_facility,212,"Sondersportanlagen",,,,,,,,
sport_facility,213,"Bezirkssportanlage",,,,,,,,
sport_facility,214,"Sondersportanlagen",,,,,,,,
sport_facility,215,"Sondersportanlagen",,,,,,,,
sport_facility,216,"Sondersportanlagen",,,,,,,,
sport_facility,217,"Sondersportanlagen",,,,,,,,
sport_facility,218,"Sondersportanlagen",,,,,,,,
sport_facility,219,"Sondersportanlagen",,,,,,,,
sport_facility,220,"Sondersportanlagen",,,,,,,,
sport_facility,221,"Sondersportanlagen",,,,,,,,
sport_facility,222,"Sondersportanlagen",,,,,,,,
sport_facility,223,"Sondersportanlagen",,,,,,,,
sport_facility,224,"Sondersportanlagen",,,,,,,,
sport_facility,225,"Sondersportanlagen",,,,,,,,
