NAME,LINK1_TXT,LINK1,RECHTSWERT,HOCHWERT
Hallenbad Hiltrup,weitere Informationen,https://www.stadt-muenster.de/sportamt/baeder/hallenbad-hiltrup.html,406456,5750854
Hallenbad Mitte,weitere Informationen,https://www.stadt-muenster.de/sportamt/baeder/hallenbad-mitte.html,404910,5757495
Hallenbad Kinderhaus,weitere Informationen,https://www.stadt-muenster.de/sportamt/baeder/hallenbad-kinderhaus.html,404215,5761497
Hallenbad Ost,weitere Informationen,https://www.stadt-muenster.de/sportamt/baeder/hallenbad-ost.html,407901,5757326
Hallenbad Roxel,weitere Informationen,https://www.stadt-muenster.de/sportamt/baeder/hallenbad-roxel.html,398743,5757013
Hallenbad Wolbeck,weitere Informationen,https://www.stadt-muenster.de/sportamt/baeder/hallenbad-wolbeck.html,411546,5752443
Freibad Hiltrup,weitere Informationen,https://www.stadt-muenster.de/sportamt/baeder/freibad-hiltrup.html,407557,5749568
Freibad Coburg,weitere Informationen,https://www.stadt-muenster.de/sportamt/baeder/freibad-coburg.html,404525,5759604
Sportbad Südmühle,,,410703,5761848
Bürgerbad Handorf,,,411174,5760618
Freibad Stapelskotten,weitere Informationen,https://www.stadt-muenster.de/sportamt/baeder/freibad-stapelskotten.html,410017,5756021
Südbad,weitere Informationen,https://www.stadt-muenster.de/sportamt/baeder/suedbad.html,404708,5755197
