Kategorie,Bezeichnung,Adresse (ungefähr),Latitude,Longitude,Öffnungszeiten,Infos im Internet,Betreiber,Vor Ort bestätigt am,Bemerkung
Givebox,Christuskirche ,Ecke Hammerstraße/Friedrich-Ebert-Straße auf dem Grundstück der Christuskirche (Evangelisch-Freikirchliche-Gemeinde),51.942209,7.623405,immer,https://www.baptisten-muenster.de/gemeindeleben/mission-diakonie/give-box.html,,22.08.2020,
Givebox,HoMaLa,"Auf dem Parkplatz der Freikirche der Siebenten-Tags-Adventisten, Horstmarer Landweg 96, 48149 Münster",51.9721136,7.5954719,immer,https://muenster.adventist.eu/give-box,Freikirche der Siebenten-Tags-Adventisten in Nordrhein-Westfalen,,
Givebox,Josefskirchplatz,Hammer Straße/Josefskirchplatz,51.9498914,7.6247309,immer,https://www.st-joseph-muenster-sued.de/caritas-hilfe/givebox-an-der-josephs-kirche,,02.02.2024,
Givebox,Mecklenbeck,"Am Hof Hesselmann 10, 48163 Münster",51.9311313,7.5777536,"Montag bis Freitag 10-17 Uhr, Samstag 10-16 Uhr",https://www.buergerverein-mecklenbeck.de/givebox,Bürgerverein für Mecklenbeck e.V. ,,
Givebox,Haus der offenen Tür Coerde,"Breslauer Str. 152, 48157 Münster",51.9946742,7.6463834,Mo bis Fr 14-20 Uhr,http://www.hot-coerde-jugendzentrum.de/Angebote,Haus der Offenen Tür in Coerde,,
Givebox,Givebox Albachten,"Vor dem Claudius-Kindergarten, Wierling 31, Münster",51.922511,7.523323,Mo bis So 10-17 Uhr,https://givebox-albachten.jimdosite.com/,,02.02.2024,
Givebox,Haus Mariengrund x 2,"Haus Mariengrund, Nünningweg 133, 48161 Münster",51.970127,7.557006,immer,https://www.haus-mariengrund.de/,Ludgerusgemeinschaft e.V.,,"Dort gibt es zwei Giveboxen: 1. Der Schrank bei den Wurzelkindern ist für Kinderkleidung, Kinderbücher und Spielzeug. 2. Der Schrank am Holzhaus bei den Eseln ist für Bücher und Alles aus dem Haushalt."
Garagenflohmarkt,Haus am Guten Hirten,"Mauritz-Lindenweg 61, 48145 Münster",51.9622609,7.6562534,8-18 Uhr,https://hvghirten.jimdofree.com/-/projekt-miteinander-und-nicht-allein/,Guter Hirte Münster gGmbH,,"Seit Beginn der Covid-19 Pandemie gibt es auf dem Gelände einen Ort für Austausch und Nachhaltigkeit: In einer großen Garage wurde ein permanenter Flohmarkt eingerichtet, welcher die Möglichkeit bietet, jeden Tag von 08-18 Uhr noch nutzbare Klamotten und andere Gegenstände zu spenden, oder gegen eine kleine Spende zu erwerben."
Öffentliches Bücherregal,Rosenplatz,Rosenplatz im Kuhviertel,51.965312,7.621543,immer,http://wiki.muenster.org/index.php/Öffentliche_Bücherregale_in_Münster,,05.01.2023,
Öffentliches Bücherregal,Schloßtheater,"Im Café im Schloßtheater (Kreuzviertel), Melchersstraße 81, 48149 Münster",51.9712267,7.6117306,13:30-23:00,http://wiki.muenster.org/index.php/Öffentliche_Bücherregale_in_Münster,,,
