NAME,STR_NAME,HSNR,HSNR_ZUS,PLZ,ORT,RECHTSWERT,HOCHWERT,HOMEPAGE
Theater in der Meerwiese,An der Meerwiese,25,,48157,Münster,407379,5760608,https://www.stadt-muenster.de/meerwiese/
Amateurbühne Münster-Ost,Andreas-Hofer-Straße,13,,48145,Münster,407399,5756985,https://amateurbuehne.de/
GOP,Bahnhofstraße,20,,48143,Münster,406140,5757178,https://www.variete.de/Muenster
Theaterlabor im Kulturbahnhof,Bergiusstraße,15,,48165,Münster,407404,5751284,https://www.uni-muenster.de/Kustodie/kulturatlas/theaterlabor.html
TPZ Münster,Achtermannstraße,24,,48143,Münster,406021,5757093,https://www.tpz-muenster.de/
Wolfgang Borchert Theater,Am Mittelhafen,10,,48155,Münster,406543,5756479,https://www.wolfgang-borchert-theater.de/
"Kreativ-Haus, Theaterbühne",Diepenbrockstraße,28,,48145,Münster,406666,5757329,https://kreativ-haus.de/
Studiobühnen Münster,Domplatz,23,a,48143,Münster,405453,5757760,https://www.uni-muenster.de/Studiobuehne/
Theater im Pumpenhaus,Gartenstraße,123,,48147,Münster,406318,5758948,https://www.pumpenhaus.de/
STORNO,Finkenstraße,7,,48147,Münster,405166,5758484,https://www.storno.org/start/
Theater Münster,Neubrückenstraße,63,,48143,Münster,405807,5758022,https://www.theater-muenster.com/
Niederdeutsche Bühne,Neubrückenstraße,63,,48143,Münster,405832,5758007,http://www.niederdeutsche-buehne-muenster.de
Boulevard Münster,Königsstraße,12,,48143,Münster,405612,5757413,https://www.boulevard-muenster.de/
Charivari Puppentheater,Körnerstraße,3,,48151,Münster,404931,5756907,http://charivari-theater.de/
Theater Szenenwechsel,Scheibenstraße,84,,48153,Münster,405531,5755409,https://www.theater-szenenwechsel.de/
Der kleine Bühnenboden,Schillerstraße,48,,48155,Münster,406623,5757011,http://www.derkleinebuehnenboden.de/
